,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
493,house,independent,sector 105,9.9,49500.0,2,2,2,3.0,Old Property,2000.0,0,0,0,0,0,0,0,"28.4952° N, 77.0114° E",28.4952,77.0114
494,flat,raheja atlantis,sector 31,5.5,18688.0,4,5,3+,1.0,Moderately Old,2663.0,1,1,0,1,0,0,81,"28.4528° N, 77.0498° E",28.4528,77.0498
495,house,independent,sector 56,7.5,23148.0,8,8,3+,3.0,Moderately Old,3240.0,1,1,0,1,0,2,42,"28.4245° N, 77.0991° E",28.4245,77.0991
496,flat,godrej,sector 79,1.91,8512.0,3,4,3+,7.0,Moderately Old,2031.0,0,1,0,0,0,0,158,"28.3624° N, 76.9787° E",28.3624,76.9787
497,flat,parsvnath green ville,sector 48,3.3,9985.0,5,5,3+,4.0,Old Property,3305.0,0,1,0,0,0,0,71,"28.4177° N, 77.0359° E",28.4177,77.0359
498,flat,emaar gurgaon greens,sector 102,1.45,8788.0,3,3,2,7.0,Moderately Old,1493.0,0,1,0,0,0,0,169,"28.4750° N, 76.9715° E",28.475,76.9715
499,house,independent,sector 7,2.25,16892.0,5,3,0,2.0,Old Property,148.0,0,0,0,0,0,0,0,"28.4644° N, 77.0143° E",28.4644,77.0143
500,flat,pioneer araya,sector 62,9.2,19944.0,4,6,3,5.0,Moderately Old,3867.0,0,1,0,1,0,1,156,"28.4139° N, 77.0886° E",28.4139,77.0886
501,house,independent,sector 110,0.34,6800.0,1,1,0,1.0,Moderately Old,500.0,0,0,0,0,0,0,0,"28.5145° N, 77.0197° E",28.5145,77.0197
502,flat,today callidora,sector 73,0.9,5549.0,3,3,3,3.0,Under Construction,1622.0,0,1,0,0,0,0,63,"28.4072° N, 77.0118° E",28.4072,77.0118
503,flat,signature global the millennia 3,sector 37d,0.45,7627.0,2,3,2,8.0,Moderately Old,656.0,0,0,0,0,0,0,8,"28.4478° N, 76.9703° E",28.4478,76.9703
504,flat,ireo uptown,sector 66,1.32,11438.0,2,2,2,6.0,Moderately Old,1048.0,0,0,0,0,0,0,45,"28.3925° N, 77.0541° E",28.3925,77.0541
505,flat,ss the leaf,sector 85,2.0,6579.0,4,5,3+,1.0,Moderately Old,2545.0,0,1,1,0,0,0,106,"28.4042° N, 76.9513° E",28.4042,76.9513
506,house,independent,sector 43,2.15,13030.0,1,1,0,1.0,Old Property,1650.0,0,0,0,0,0,0,0,"28.4629° N, 77.0772° E",28.4629,77.0772
507,flat,signature global city,sector 37d,1.1,8800.0,3,3,3,1.0,Moderately Old,1389.0,0,0,0,0,0,0,16,"28.4478° N, 76.9703° E",28.4478,76.9703
508,house,independent,sector 25,10.85,38150.0,6,6,1,3.0,Moderately Old,2844.0,0,0,1,0,0,1,136,"28.4844° N, 77.0860° E",28.4844,77.086
509,flat,bhagwati sadan,sector 12,1.15,5750.0,3,4,2,2.0,Old Property,2000.0,1,1,0,0,1,1,28,"28.4723° N, 77.0320° E",28.4723,77.032
510,house,ansal heights,sector 92,2.75,9793.0,4,4,3+,3.0,Moderately Old,5000.0,1,0,0,1,0,0,0,"28.4079° N, 76.9153° E",28.4079,76.9153
511,house,sushant lok 1 builder floors,sector 43,10.85,28841.0,8,8,3,3.0,Old Property,3762.0,1,1,1,1,0,2,160,"28.4629° N, 77.0772° E",28.4629,77.0772
512,flat,bptp terra,sector 37d,1.4,7731.0,3,3,3,5.0,Moderately Old,1711.0,0,0,0,0,0,1,149,"28.4478° N, 76.9703° E",28.4478,76.9703
513,house,ansals florence villa,sector 57,3.65,10580.0,6,6,2,3.0,Old Property,3450.0,1,1,1,1,0,2,152,"28.4232° N, 77.0752° E",28.4232,77.0752
514,house,independent,sector 41,1.65,13750.0,1,1,0,1.0,Old Property,1200.0,0,0,0,0,0,0,0,"28.4557° N, 77.0632° E",28.4557,77.0632
515,flat,mapsko mount ville,sector 79,1.5,8264.0,3,4,3+,11.0,Moderately Old,1416.0,0,1,0,0,0,1,144,"28.3624° N, 76.9787° E",28.3624,76.9787
516,flat,supertech araville,sector 79,0.8,6178.0,2,2,3+,9.0,New Property,1172.0,0,0,0,0,1,0,24,"28.3624° N, 76.9787° E",28.3624,76.9787
517,flat,brisk lumbini terrace homes,sector 109,1.5,6617.0,3,3,1,4.0,New Property,2519.0,0,1,0,0,0,0,37,"28.5073° N, 77.0089° E",28.5073,77.0089
518,flat,m3m golfestate,sector 65,6.15,15999.0,3,5,3+,1.0,Moderately Old,4271.0,0,1,0,0,0,2,49,"28.4030° N, 77.0690° E",28.403,77.069
519,house,unitech aspen greens,sector 50,12.0,37037.0,3,4,2,1.0,Old Property,3240.0,1,1,0,0,0,1,101,"28.4178° N, 77.0628° E",28.4178,77.0628
520,flat,dlf new town heights,sector 90,1.25,6477.0,3,3,3+,17.0,Moderately Old,1700.0,0,1,0,1,0,0,65,"28.4085° N, 76.9369° E",28.4085,76.9369
521,house,independent,manesar,2.0,14959.0,3,1,0,3.0,Old Property,1337.4,0,0,0,0,0,0,16,"28.3515° N, 76.9428° E",28.3515,76.9428
522,flat,tulip violet,sector 69,1.28,8112.0,3,3,2,12.0,Moderately Old,1428.0,0,0,0,1,0,1,49,"28.3966° N, 77.0341° E",28.3966,77.0341
523,flat,rof ananda,sector 95,0.32,5735.0,2,2,1,10.0,Moderately Old,610.0,0,0,0,1,0,1,50,"28.4172° N, 76.9081° E",28.4172,76.9081
524,house,independent,sector 105,0.38,8444.0,2,2,2,1.0,Old Property,56.0,0,0,0,0,0,0,0,"28.4952° N, 77.0114° E",28.4952,77.0114
525,flat,shapoorji pallonji joyville gurugram,sector 102,1.1,12182.0,2,2,1,8.0,Moderately Old,817.0,0,0,0,0,0,0,105,"28.4750° N, 76.9715° E",28.475,76.9715
526,house,independent,sector 17,9.5,23457.0,8,8,3,3.0,Moderately Old,500.0,1,0,0,0,0,1,27,"28.4791° N, 77.0608° E",28.4791,77.0608
527,house,independent,sector 12,1.4,8701.0,2,2,1,2.0,Old Property,166.0,0,0,0,0,0,0,0,"28.4723° N, 77.0320° E",28.4723,77.032
528,house,independent,sector 28,1.45,8002.0,3,2,1,1.0,Moderately Old,1800.0,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
529,flat,m3m heights,sector 65,2.25,13612.0,2,2,3,5.0,Moderately Old,1592.0,0,0,0,0,0,0,48,"28.4030° N, 77.0690° E",28.403,77.069
530,flat,godrej habitat,sector 3,1.3,9003.0,2,2,2,6.0,Under Construction,1604.0,0,0,0,0,0,0,36,"28.4909° N, 77.0176° E",28.4909,77.0176
531,flat,vatika gurgaon,sector 83,1.19,7438.0,3,3,2,10.0,Moderately Old,1778.0,0,1,0,0,0,1,35,"28.3986° N, 76.9647° E",28.3986,76.9647
532,house,independent,sector 45,17.0,37778.0,5,8,3+,3.0,Moderately Old,4500.0,1,1,1,1,0,2,152,"28.4466° N, 77.0660° E",28.4466,77.066
533,flat,dlf icon,sector 43,5.8,20707.0,4,4,3+,18.0,Moderately Old,2801.0,0,0,0,0,0,0,0,"28.4629° N, 77.0772° E",28.4629,77.0772
534,house,independent,sector 4,2.3,17012.0,4,4,3,2.0,Old Property,160.0,0,0,0,0,0,1,15,"28.4738° N, 77.0107° E",28.4738,77.0107
535,flat,microtek greenburg,sector 86,1.65,8707.0,3,4,3,8.0,Moderately Old,1715.0,0,1,0,0,0,0,124,"28.3986° N, 76.9384° E",28.3986,76.9384
536,flat,shapoorji pallonji joyville gurugram,sector 102,0.95,10383.0,2,2,2,14.0,Moderately Old,915.0,0,0,0,0,0,0,0,"28.4750° N, 76.9715° E",28.475,76.9715
537,house,unitech espace,sector 50,11.29,34846.0,5,5,3+,2.0,Old Property,3240.0,1,0,0,1,0,0,21,"28.4178° N, 77.0628° E",28.4178,77.0628
538,flat,signature global orchard avenue,sector 93,0.4,5479.0,2,2,0,0.0,Moderately Old,730.0,0,0,0,0,0,0,0,"28.4153° N, 76.9326° E",28.4153,76.9326
539,flat,signature global park 4,sector 36,0.72,6660.0,3,2,3,3.0,Under Construction,978.0,0,0,0,0,0,0,0,"28.4160° N, 76.9914° E",28.416,76.9914
540,flat,experion the heartsong,sector 108,1.02,7950.0,2,3,3,4.0,Moderately Old,1283.0,1,0,0,0,0,0,112,"28.5134° N, 76.9830° E",28.5134,76.983
541,house,independent,sector 14,4.15,18444.0,5,4,2,2.0,Old Property,2250.0,0,0,0,0,0,1,51,"28.4711° N, 77.0454° E",28.4711,77.0454
542,flat,ireo uptown,sector 66,1.85,12568.0,2,3,3,16.0,Moderately Old,1470.0,0,1,0,0,1,1,79,"28.3925° N, 77.0541° E",28.3925,77.0541
543,flat,emaar mgf emerald floors premier,sector 65,2.24,13576.0,3,3,3,2.0,Moderately Old,1833.0,1,1,0,0,0,0,46,"28.4030° N, 77.0690° E",28.403,77.069
544,flat,raheja the vedaanta floors,sector 108,0.7,4522.0,2,2,3,1.0,Moderately Old,1720.0,0,0,0,0,0,1,0,"28.5134° N, 76.9830° E",28.5134,76.983
